date,electricity_kwh,water_litres,diesel_litres
2024-01-01,1200,8000,50
2024-01-02,1300,8200,55
2024-01-03,1250,8100,52
2024-01-04,1400,8500,60
2024-01-05,1500,8700,65
2024-01-06,1400,8478,68
2024-01-07,1600,8451,69
2024-01-08,1500,8945,64
2024-01-09,1700,8785,62
2024-01-10,1500,8700,63
2024-01-11,1500,8704,64
2024-01-12,1400,8894,52
2024-01-13,1502,8345,45
2024-01-14,1100,8457,74
2024-01-15,1700,8605,56
2024-01-16,1800,8840,74
2024-01-17,1600,8780,65
2024-01-18,1300,7700,84
2024-01-19,1400,8500,45
